Position-x,Position-y,Velocity-x,Velocity-y
175,1244,0.0,0.0
191,1216,480.3273026752743,-840.57277968173
211,1177,600.4091283440929,-1170.7978002709813
229,1155,540.3682155096836,-660.4500411785021
249,1149,600.4091283440929,-180.12273850322788
267,1155,540.3682155096836,180.12273850322788
271,1081,120.08182566881858,-2221.5137748731436
270,986,-30.020456417204645,-2851.943359634441
268,902,-60.04091283440929,-2521.71833904519
265,828,-90.06136925161394,-2221.5137748731436
267,770,60.04091283440929,-1741.1864721978695
264,731,-90.06136925161394,-1170.7978002709813
270,707,180.12273850322788,-720.4909540129115
272,701,60.04091283440929,-180.12273850322788
278,709,180.12273850322788,240.16365133763716
284,731,180.12273850322788,660.4500411785021
289,764,150.10228208602322,990.6750617677533
294,803,150.10228208602322,1170.7978002709813
294,787,0.0,-480.3273026752743
290,708,-120.08182566881858,-2371.616056959167
287,639,-90.06136925161394,-2071.4114927871206
284,582,-90.06136925161394,-1711.1660157806648
282,540,-60.04091283440929,-1260.859169522595
280,514,-60.04091283440929,-780.5318668473208
280,501,0.0,-390.2659334236604
283,504,90.06136925161394,90.06136925161394
283,527,0.0,690.4704975957069
281,552,-60.04091283440929,750.5114104301161
283,591,60.04091283440929,1170.7978002709813
285,632,60.04091283440929,1230.8387131053905
281,568,-120.08182566881858,-1921.3092107010973
277,508,-120.08182566881858,-1801.2273850322788
274,459,-90.06136925161394,-1471.0023644430275
271,424,-90.06136925161394,-1050.7159746021625
271,402,0.0,-660.4500411785021
271,392,0.0,-300.20456417204645
273,396,60.04091283440929,120.08182566881858
276,413,90.06136925161394,510.34775909247895
278,441,60.04091283440929,840.57277968173
282,477,120.08182566881858,1080.7364310193673
285,492,90.06136925161394,450.3068462580697
282,438,-90.06136925161394,-1621.1046465290508
281,393,-30.020456417204645,-1350.920538774209
280,359,-30.020456417204645,-1020.6955181849579
280,337,0.0,-660.4500411785021
281,329,30.020456417204645,-240.16365133763716
282,332,30.020456417204645,90.06136925161394
284,346,60.04091283440929,420.286389840865
287,369,90.06136925161394,690.4704975957069
290,405,90.06136925161394,1080.7364310193673
289,389,-30.020456417204645,-480.3273026752743
287,344,-60.04091283440929,-1350.920538774209
286,309,-30.020456417204645,-1050.7159746021625
285,286,-30.020456417204645,-690.4704975957069
285,274,0.0,-360.24547700645576
286,273,30.020456417204645,-30.020456417204645
288,280,60.04091283440929,210.1431949204325
290,302,60.04091283440929,660.4500411785021
291,332,30.020456417204645,900.6136925161394
291,324,0.0,-240.16365133763716
289,283,-60.04091283440929,-1230.8387131053905
287,254,-60.04091283440929,-870.5932360989348
286,235,-30.020456417204645,-570.3886719268883
286,226,0.0,-270.1841077548418
287,228,30.020456417204645,60.04091283440929
289,238,60.04091283440929,300.20456417204645
290,262,30.020456417204645,720.4909540129115
290,290,0.0,840.57277968173
289,254,-30.020456417204645,-1080.7364310193673
288,223,-30.020456417204645,-930.634148933344
287,202,-30.020456417204645,-630.4295847612975
287,191,0.0,-330.2250205892511
288,190,30.020456417204645,-30.020456417204645
289,199,30.020456417204645,270.1841077548418
291,216,60.04091283440929,510.34775909247895
292,244,30.020456417204645,840.57277968173
291,214,-30.020456417204645,-900.6136925161394
290,187,-30.020456417204645,-810.5523232645254
289,169,-30.020456417204645,-540.3682155096836
289,161,0.0,-240.16365133763716
289,162,0.0,30.020456417204645
