Position-x,Position-y,Velocity-x,Velocity-y
251,132,-120.08182566881858,-60.04091283440929
248,136,-90.06136925161394,120.08182566881858
245,146,-90.06136925161394,300.20456417204645
242,145,-90.06136925161394,-30.020456417204645
239,148,-90.06136925161394,90.06136925161394
237,159,-60.04091283440929,330.2250205892511
235,157,-60.04091283440929,-60.04091283440929
232,158,-90.06136925161394,30.020456417204645
230,168,-60.04091283440929,300.20456417204645
228,164,-60.04091283440929,-120.08182566881858
226,165,-60.04091283440929,30.020456417204645
224,172,-60.04091283440929,210.1431949204325
222,168,-60.04091283440929,-120.08182566881858
220,172,-60.04091283440929,120.08182566881858
218,174,-60.04091283440929,60.04091283440929
216,173,-60.04091283440929,-30.020456417204645
214,179,-60.04091283440929,180.12273850322788
212,177,-60.04091283440929,-60.04091283440929
210,179,-60.04091283440929,60.04091283440929
208,182,-60.04091283440929,90.06136925161394
206,182,-60.04091283440929,0.0
204,187,-60.04091283440929,150.10228208602322
202,186,-60.04091283440929,-30.020456417204645
200,191,-60.04091283440929,150.10228208602322
197,189,-90.06136925161394,-60.04091283440929
195,194,-60.04091283440929,150.10228208602322
192,192,-90.06136925161394,-60.04091283440929
190,196,-60.04091283440929,120.08182566881858
188,195,-60.04091283440929,-30.020456417204645
186,199,-60.04091283440929,120.08182566881858
184,198,-60.04091283440929,-30.020456417204645
182,201,-60.04091283440929,90.06136925161394
180,202,-60.04091283440929,30.020456417204645
178,203,-60.04091283440929,30.020456417204645
176,206,-60.04091283440929,90.06136925161394
174,206,-60.04091283440929,0.0
172,208,-60.04091283440929,60.04091283440929
170,210,-60.04091283440929,60.04091283440929
168,210,-60.04091283440929,0.0
166,211,-60.04091283440929,30.020456417204645
164,213,-60.04091283440929,60.04091283440929
162,214,-60.04091283440929,30.020456417204645
160,215,-60.04091283440929,30.020456417204645
158,215,-60.04091283440929,0.0
156,216,-60.04091283440929,30.020456417204645
154,217,-60.04091283440929,30.020456417204645
152,218,-60.04091283440929,30.020456417204645
149,220,-90.06136925161394,60.04091283440929
147,221,-60.04091283440929,30.020456417204645
144,222,-90.06136925161394,30.020456417204645
142,223,-60.04091283440929,30.020456417204645
139,223,-90.06136925161394,0.0
137,224,-60.04091283440929,30.020456417204645
134,225,-90.06136925161394,30.020456417204645
132,226,-60.04091283440929,30.020456417204645
130,227,-60.04091283440929,30.020456417204645
127,227,-90.06136925161394,0.0
124,228,-90.06136925161394,30.020456417204645
122,228,-60.04091283440929,0.0
120,229,-60.04091283440929,30.020456417204645
118,230,-60.04091283440929,30.020456417204645
115,231,-90.06136925161394,30.020456417204645
113,231,-60.04091283440929,0.0
111,232,-60.04091283440929,30.020456417204645
109,232,-60.04091283440929,0.0
107,233,-60.04091283440929,30.020456417204645
105,234,-60.04091283440929,30.020456417204645
102,234,-90.06136925161394,0.0
100,235,-60.04091283440929,30.020456417204645
98,235,-60.04091283440929,0.0
96,236,-60.04091283440929,30.020456417204645
